,Unnamed: 0,measurement_date,positioning_quality,used_satellites,id,run_start_date,latitude,longitude,driving_course_id,equip_id,block_no,velocity,update_time,vecX,vecY,VEC,time,X,Y,VEC_AtoA+1,inpAtoA+1,inpminus,continue_count,VEC_measurement_model,inp_measurement_model,speed_dif_measurement_model,nine_axis_acceleration_x,nine_axis_acceleration_y,nine_axis_acceleration_z,nine_axis_angular_velocity_x,nine_axis_angular_velocity_y,nine_axis_angular_velocity_z,can_brake,can_turn_lever_position,can_speed,can_steering,can_accel,100101,100102,100103,100201,100202,100203,100204,100301,100302,100303,100304,100401,100402,100403,100404,110001,110002,110003,110004,110005,110006,110008,110009,110010,130001,130002,130003,130005,130006,140101,140102,140201,140202,140203,150000,170001,170002,180000,190101,190102,190103,190201,190202,190203,200001,200002,200003,210001,210002,210003,210004,220001,220002,230001,230002,230003,240001,240002,240003,250001,250002,250004,260000,270001,270002,280001,280002,280003,280004,280005,290001,290002,320001,320002,320003,320004,330000,340101,340102,340103,340104,340201,340202,340203,340204,340205,340206,340207,350001,350002,370001,370002,370003,370004,380001,380002,390001,390002,390003,400001,400002,400003,400005,400006,400007,400008,400009,400010,400011,410000,420003,420004,430001,430002,440001,440002,440003,450004,450006,460002,470001,470002,490001,490002,490003,500002,500004,500005,500006,510001,510002,510003,550000,560000,570001,570002,570003,600001,600002,600003,610001,610003,620001,620002,620003,620006,620007,620008,620009,620010,620011,620012,630000,650001,650002,660001,660002,660003,660004,660005,660006,660007,660008,670001,670005,670007,680000,690001,690002,690003,010002,010007,020001,020002,020003,020004,020005,030001,030003,050001,050002,050003,060001,060002,070001,070002,070003,080101,080102,080201,080202,080203
441,441,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,442,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,443,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,444,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,445,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,446,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,447,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,448,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,449,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,450,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,451,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,452,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,453,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,454,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,455,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,456,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,457,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,458,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,459,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,460,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,461,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,462,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,463,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,464,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,465,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,466,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,467,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,468,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,469,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,470,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,471,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,472,2021-02-16 17:43:23.253000+00:00,5,7,496520,2021-02-16 17:43:22+00:00,32.00100924,131.4425521,16,3,1,0.15371600000000002,2021-03-02 15:00:00+00:00,0.0,0.0,0.0,1,-3.33e-08,-4.1699999999999996e-08,6.719999999999999e-08,-6.94e-16,minus,6,,,,-0.007770569000000001,0.029681135,-0.996303,0.0009519999999999999,-0.000325,-0.002128939,0,0,0.0,-5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
